DocTitle,IndexerTime
847132089.xml,14
1334214589.xml,20
503182519.xml,15
135778539.xml,10
822464799.xml,14
1427418779.xml,7
471532729.xml,14
356462909.xml,9
96044629.xml,15
1805080109.xml,7
1801633309.xml,27
27898209.xml,14
261932379.xml,9
2129648709.xml,15
330195439.xml,17
1164940289.xml,20
1908578789.xml,9
1507274609.xml,16
1076561089.xml,10
620062219.xml,23
1275762129.xml,9
1961932669.xml,13
252543899.xml,10
578456319.xml,25
1713686649.xml,19
2131137669.xml,16
2145153469.xml,15
1689498889.xml,11
2139280739.xml,8
397051719.xml,11
1247307669.xml,8
1034947599.xml,9
722302949.xml,10
312260159.xml,16
711603859.xml,8
166684189.xml,9
192033159.xml,11
601260689.xml,9
173609769.xml,13
830977419.xml,9
835068599.xml,16
1289677479.xml,14
1225727289.xml,10
1087348939.xml,9
2122142669.xml,9
1462272399.xml,10
1157231059.xml,10
252335759.xml,15
1545723639.xml,6
871182409.xml,533
1916755559.xml,17
1951294869.xml,9
2095380169.xml,10
944941509.xml,9
1370233899.xml,28
1141010939.xml,14
225413049.xml,15
640458769.xml,22
7351469.xml,15
1072967009.xml,10
362034299.xml,8
1038606989.xml,28
1410811369.xml,22
99454289.xml,21
1089436279.xml,16
1708053079.xml,14
622235999.xml,54
1617086969.xml,17
220506259.xml,16
2133581419.xml,9
1845315699.xml,16
93056949.xml,13
1766337779.xml,25
1715006229.xml,26
717298889.xml,18
1563870219.xml,22
1455671009.xml,14
1524631679.xml,18
1152847909.xml,15
1332580639.xml,22
781280259.xml,16
1830741269.xml,21
656913759.xml,20
478149739.xml,21
1471434859.xml,15
1015857199.xml,20
274550089.xml,15
141619279.xml,26
1315764449.xml,9
1187723859.xml,18
412067279.xml,15
2115554889.xml,11
1708655069.xml,12
252459209.xml,10
844386359.xml,12
1143807339.xml,10
229286269.xml,10
1833145089.xml,11
1338529369.xml,10
1902273769.xml,11
460922209.xml,16
2139364939.xml,13
384775309.xml,16
1580947739.xml,17
2019372819.xml,10
833105969.xml,26
1980014109.xml,12
297045299.xml,24
1935987939.xml,12
1662489609.xml,22
504788419.xml,15
1097963319.xml,17
1244480179.xml,19
762243149.xml,10
1707740949.xml,12
1111053839.xml,9
833050029.xml,18
