DocTitle,IndexerTime
153398459.xml,17
1727213119.xml,30
879316689.xml,12
1767670609.xml,22
1169340839.xml,29
17532179.xml,12
898636299.xml,13
1342222369.xml,12
1683128959.xml,37
1369236959.xml,13
1898478859.xml,15
1695165359.xml,12
1333287289.xml,211
1813062969.xml,27
486616909.xml,18
1023756529.xml,9
1731516419.xml,10
1774838519.xml,20
183894359.xml,16
1732079209.xml,16
1521864339.xml,16
1406229859.xml,14
1076316469.xml,15
357333949.xml,14
1497412109.xml,9
631294679.xml,19
2034560209.xml,16
1490282889.xml,12
1778380949.xml,7
1877561729.xml,11
445992369.xml,9
218858809.xml,9
2137475299.xml,9
1732567809.xml,6
1162625429.xml,8
1598133519.xml,8
1599205689.xml,10
1427418559.xml,18
1893994759.xml,15
1944615469.xml,9
1449342829.xml,6
2120411919.xml,14
15096409.xml,14
2082965279.xml,10
2116131599.xml,8
9311879.xml,10
691569469.xml,8
2140619099.xml,10
2095054029.xml,8
275452959.xml,11
356501929.xml,11
1312324369.xml,7
1501110099.xml,8
340428679.xml,9
1732538329.xml,9
2060805339.xml,12
1854054479.xml,11
1931816499.xml,8
3143259.xml,8
2134804829.xml,8
862252399.xml,8
1087710199.xml,8
1801090579.xml,11
972260659.xml,10
1133293469.xml,8
1434342669.xml,8
867236599.xml,6
248403059.xml,7
1427447489.xml,7
1677073919.xml,8
1445276889.xml,10
1927130139.xml,5
1838832099.xml,11
52130549.xml,6
1131760369.xml,7
1447702589.xml,12
471527739.xml,7
1107846769.xml,15
1940712609.xml,7
2129530439.xml,6
1952229889.xml,9
886007379.xml,12
1585737809.xml,7
129632419.xml,7
178726379.xml,6
1712065679.xml,7
1403350389.xml,5
230355189.xml,7
1142588429.xml,11
1597300139.xml,9
1427449499.xml,6
1629837109.xml,9
386559979.xml,7
801525979.xml,6
9662669.xml,14
1574834059.xml,6
2140494049.xml,14
2136425219.xml,12
104170759.xml,7
1565309459.xml,12
2117757839.xml,6
404064339.xml,8
1657773539.xml,8
1427443799.xml,8
895130389.xml,6
1640940469.xml,9
1868132409.xml,7
2141454179.xml,8
1321797369.xml,8
657171269.xml,7
1606682149.xml,7
171216169.xml,6
1650084239.xml,5
1850150259.xml,4
397765039.xml,52
901064439.xml,42
2063037699.xml,41
2140496529.xml,12
556806499.xml,12
1715923400.xml,10
274672090.xml,14
1987757580.xml,12
1885372900.xml,7
1791533970.xml,8
1653398120.xml,7
2054283320.xml,8
271963170.xml,8
340436060.xml,15
2134562860.xml,11
1590929850.xml,9
2003898400.xml,9
2062440850.xml,10
1877616510.xml,7
1731516570.xml,7
1528725120.xml,7
1505747100.xml,12
1468748080.xml,7
348432960.xml,9
1003566160.xml,25
425182840.xml,21
2118675960.xml,8
1965041900.xml,7
1018030620.xml,7
474621520.xml,9
2122831830.xml,23
1141113360.xml,6
1362088490.xml,6
1777747930.xml,3
1231448420.xml,7
337914660.xml,7
703066640.xml,8
1732546760.xml,7
2057469230.xml,7
1732543630.xml,8
2131262000.xml,5
175474270.xml,16
2039024070.xml,4
2139573010.xml,4
1091972400.xml,6
449196280.xml,4
1791835960.xml,8
930561500.xml,8
2137405210.xml,7
739918600.xml,8
1477971020.xml,7
1811769320.xml,8
514797780.xml,5
1732202230.xml,6
1069112900.xml,4
1127973420.xml,4
2102953540.xml,5
649414040.xml,14
1717734040.xml,14
299869700.xml,6
1951246720.xml,7
875341680.xml,7
925098720.xml,12
1491221390.xml,6
1951453980.xml,5
